countries,x,y
Albania,66.0, -316.0
Andorra,-366.0, -278.0
Austria,-63.0, -129.0
Belarus,169.0, 80.0
Belgium, -263.0, -32.0
Bosnia and Herzogowina,-4.0, -232.0
Bulgaria,177.0, -258.0
Croatia,-55.0, -211.0
Czech Republic,-65.0, -62.0
Denmark,-166.0, 137.0
Estonia,100.0, 220.0
Finland,72.0, 316.0
Macedonia,101.0, -311.0
France,-338.0, -152.0
Germany,-165.0, -26.0
Greece,104.0, -363.0
Hungary,17.0, -148.0
Iceland,-451.0, 390.0
Ireland,-470.0, 80.0
Italy,-152.0, -229.0
Kosovo,81.0 -280.0
Latvia,100.0, 174.0
Liechtenstein,-180.0 -146.0
Lithuania,99.0, 122.0
Luxembourg,-243.0, -59.0
Moldova,223.0, -100.0
Monaco,-242.0, -253.0
Montenegro,43.0, -279.0
Netherlands,-244.0, 24.0
Norway,-157.0, 289.0
Poland,17.0, 15.0
Portugal,-594.0, -313.0
Romania,158.0, -170.0
Russia,358.0, 248.0
San Marino,-107.0, -253.0
Serbia,64.0, -227.0
Slovakia,16.0, -94.0
Slovenia,-75.0, -180.0
Spain,-490.0, -304.0
Sweden,-92.0, 213.0
Switzerland,-223.0, -151.0
Turkey,349.0, -317.0
Ukraine,207.0, -22.0
United Kingdom,-411.0, 38.0
Vatican,-112.0, -324.0
